S_No,Hotel_Name,Number_of_Reviews,User_Ratings,Star_Ratings,Review_Score,Location
1,Five Jumeirah Village,"38,428 reviews",Superb,5,9.1,Dubai United Arab Emirates
2,Premier Inn Dubai International Airport,"16,064 reviews",Very good,3,8.3,Dubai United Arab Emirates
3,"Holiday Inn Express Dubai Airport, an IHG Hotel","16,426 reviews",Good,3,7.8,Dubai United Arab Emirates
4,TRYP by Wyndham Dubai,"16,885 reviews",Very good,4,8.4,Dubai United Arab Emirates
5,Wyndham Dubai Marina,"13,175 reviews",Very good,4,8.2,Dubai United Arab Emirates
6,Millennium Airport Hotel Dubai,"10,195 reviews",Very good,4,8.2,Dubai United Arab Emirates
7,Flora Inn Hotel Dubai Airport,"14,093 reviews",Very good,4,8.1,Dubai United Arab Emirates
8,Citymax Hotel Bur Dubai,"9,231 reviews",Review score,3,6.9,Dubai United Arab Emirates
9,Hyatt Regency Dubai Creek Heights,"9,655 reviews",Very good,5,8.2,Dubai United Arab Emirates
10,Atana Hotel,"20,850 reviews",Good,4,7.9,Dubai United Arab Emirates
11,Britannia International Hotel Canary Wharf,"17,858 reviews",Review score,4,5.7,London United Kingdom
12,Zedwell Piccadilly Circus,"28,614 reviews",Good,0,7.5,London United Kingdom
13,Park Plaza Westminster Bridge London,"20,975 reviews",Very good,4,8.3,London United Kingdom
14,"The Tower Hotel, London","18,524 reviews",Good,4,7.8,London United Kingdom
15,Central Park Hotel,"17,361 reviews",Review score,3,6.6,London United Kingdom
16,The Z Hotel Holborn,"13,804 reviews",Very good,0,8.1,London United Kingdom
17,Millennium Gloucester Hotel London,"11,427 reviews",Good,4,7.3,London United Kingdom
18,DoubleTree by Hilton Hotel London - Tower of London,"10,992 reviews",Good,4,7.6,London United Kingdom
19,"Intercontinental London - The O2, an IHG Hotel","8,898 reviews",Fabulous,5,8.7,London United Kingdom
20,The Z Hotel Trafalgar,"11,627 reviews",Very good,0,8.4,London United Kingdom
21,Komune Living,"7,340 reviews",Very good,3,8.1,Kuala Lumpur Malaysia
22,Seri Pacific Hotel Kuala Lumpur,"6,252 reviews",Very good,5,8.4,Kuala Lumpur Malaysia
23,Dorsett Hartamas Kuala Lumpur,"5,688 reviews",Good,4,7.7,Kuala Lumpur Malaysia
24,Hotel Sentral KL @ KL Sentral Station,"4,423 reviews",Review score,3,6.5,Kuala Lumpur Malaysia
25,Sunway Putra Hotel Kuala Lumpur,"7,677 reviews",Fabulous,5,8.6,Kuala Lumpur Malaysia
26,"Traders Hotel, Kuala Lumpur","8,236 reviews",Fabulous,5,8.6,Kuala Lumpur Malaysia
27,Concorde Hotel Kuala Lumpur,"4,931 reviews",Very good,4,8.3,Kuala Lumpur Malaysia
